Pathogen_Name,R0_Clust_ReportedValue,R0_Clust_ReportedValueType,R0_Clust_UncertaintyType,R0_Clust_LowerBound,R0_Clust_UpperBound,R0_Clust_SamplingDist,R0_Clust_PointEstimateCV,SI_Clust_ReportedValue,SI_Clust_ReportedValueType,SI_Clust_UncertaintyType,SI_Clust_LowerBound,SI_Clust_UpperBound,SI_Clust_SamplingDist,SI_Clust_PointEstimateCV,CFR_Clust_ReportedValue,CFR_Clust_ReportedValueType,CFR_Clust_UncertaintyType,CFR_Clust_LowerBound,CFR_Clust_UpperBound,CFR_Clust_SamplingDist,CFR_Clust_PointEstimateCV,SI_FullDist_Family,SI_FullDist_Param1_Name,SI_FullDist_Param1_Value,SI_FullDist_Param1_UncertaintySource,SI_FullDist_Param1_LowerBound,SI_FullDist_Param1_UpperBound,SI_FullDist_Param1_SamplingDist,SI_FullDist_Param1_PointEstimateCV,SI_FullDist_Param2_Name,SI_FullDist_Param2_Value,SI_FullDist_Param2_UncertaintySource,SI_FullDist_Param2_LowerBound,SI_FullDist_Param2_UpperBound,SI_FullDist_Param2_SamplingDist,SI_FullDist_Param2_PointEstimateCV,IP_FullDist_Family,IP_FullDist_Param1_Name,IP_FullDist_Param1_Value,IP_FullDist_Param1_UncertaintySource,IP_FullDist_Param1_LowerBound,IP_FullDist_Param1_UpperBound,IP_FullDist_Param1_SamplingDist,IP_FullDist_Param1_PointEstimateCV,IP_FullDist_Param2_Name,IP_FullDist_Param2_Value,IP_FullDist_Param2_UncertaintySource,IP_FullDist_Param2_LowerBound,IP_FullDist_Param2_UpperBound,IP_FullDist_Param2_SamplingDist,IP_FullDist_Param2_PointEstimateCV,Route_resp,Route_direct,Route_sexual,Route_animal,Route_vector
COVID-19_WT,2.69,Mean,95CI,2.4,2.98,rlnorm,,4.82,Mean,95CI,4.5,5.14,rgamma,,0.0267,Mean,95CI,0.0225,0.031,rbeta,,Normal,mean,4.6,95CI,3.7,5.5,rnorm,,SD,4.4,Fixed,,,,,Lognormal,meanlog,1.417,Fixed,,,,,sdlog,0.381,Fixed,,,,,1,0,0,0,0
COVID-19_A,4.48,Mean,95CI,4,4.96,rlnorm,,3.47,Mean,95CI,2.52,4.41,rgamma,,0.0262,Mean,95CI,0.02,0.0323,rbeta,,Gamma,shape,2,Fixed,,,,,scale,0.44,Fixed,,,,,Gamma,mean,4.96,Fixed,,,,,SD,2.32,Fixed,,,,,1,0,0,0,0
COVID-19_D,5.08,Mean,range,3.2,8,rlnorm,,3.59,Mean,95CI,3.26,3.92,rgamma,,0.0201,Mean,95CI,0.0188,0.0214,rbeta,,Gamma,shape,2.11,Fixed,,,,,scale,0.5,Fixed,,,,,Gamma,shape,3.111,Fixed,,,,,rate,0.721,Fixed,,,,,1,0,0,0,0
COVID-19_O,9.5,Mean,IQR,7.25,11.88,rlnorm,,3.21,Mean,95CI,2.94,3.48,rgamma,,0.007,Mean,95CI,0.0067,0.0073,rbeta,,Normal,mean,2.75,Fixed,,,,,SD,2.54,Fixed,,,,,Lognormal,meanlog,1.045,Fixed,,,,,sdlog,0.57,Fixed,,,,,1,0,0,0,0
Ebola,1.95,Mean,95CI,1.74,2.15,rlnorm,,15.4,Mean,95CI,13.2,17.5,rgamma,,0.611,Mean,95CI,0.503,0.719,rbeta,,Gamma,shape,2.188,Fixed,,,,,scale,6.49,Fixed,,,,,Gamma,shape,1.578,Fixed,,,,,scale,6.528,Fixed,,,,,0,1,0,1,0
Marburg,0.81,Median,95CI,0.08,1.8,rlnorm,,9.2,Mean,95CI,0.576,17.824,rgamma,,0.619,Mean,95CI,0.388,0.806,rbeta,,Gamma,shape,4.371901,Fixed,,,,,rate,0.4752066,Fixed,,,,,Weibull,shape,2.302,Fixed,,,,,scale,7.804,Fixed,,,,,0,1,0,1,0
Lassa,0.73,Median,95CI,0.0455,11.7,rlnorm,,11.8,Mean,95CI,1.4,43,rgamma,,0.331,Mean,95CI,0.257,0.415,rbeta,,Lognormal,meanlog,2.09,Fixed,,,,,sdlog,0.85,Fixed,,,,,Lognormal,meanlog,2.467,Fixed,,,,,sdlog,0.367,Fixed,,,,,0,1,0,1,0
CCHF,0.03,Median,95CI,0.004,0.09,rlnorm,,12,Mean,95CI,3,27.2,rgamma,,0.117,Mean,95CI,0.91,0.145,rbeta,,Gamma,shape,3.9,Fixed,,,,,rate,0.33,Fixed,,,,,Gamma,mean,5.7,Fixed,,,,,SD,2.1,Fixed,,,,,0,1,0,1,1
Nipah,0.33,Mean,95CI,0.19,0.59,rlnorm,,13,Mean,IQR,12,14,rgamma,,0.61,Mean,95CI,0.457,0.754,rbeta,,Gamma,shape,17.92111,Fixed,,,,,rate,1.411111,Fixed,,,,,Gamma,shape,16.123,Fixed,,,,,rate,1.714,Fixed,,,,,0,1,0,1,0
Zika,3.02,Mean,range,0.16,9.4,rlnorm,,12,Median,95CI,9.91,14.53,rlnorm,,0.0002,Median,95CI,0.00002,0.00325,rbeta,,Lognormal,meanlog,2.4849,Fixed,,,,,sdlog,0.2757,Fixed,,,,,Lognormal,meanlog,1.775,Fixed,,,,,sdlog,0.405,Fixed,,,,,0,0,1,0,1
Mpox,1.8,Mean,95CI,1.7,1.9,rlnorm,,8.5,Mean,95CI,7.3,9.9,rgamma,,0.04,Mean,95CI,0.01,0.09,rbeta,,Gamma,shape,0.8,Fixed,,,,,rate,0.1,Fixed,,,,,Lognormal,meanlog,2.091,Fixed,,,,,sdlog,0.438,Fixed,,,,,0,1,0,1,0
H1N1_18,1.8,Median,IQR,1.47,2.27,rlnorm,,3.26,Mean,95CI,2.62,3.9,rlnorm,,0.025,Mean,Range,0.02,0.03,runif,,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,1,0,0,0,0
H2N2,1.65,Median,IQR,1.53,1.7,rlnorm,,3.5,Median,Range,2.6,4.1,rgamma,,0.02,Mean,PointEstimate,,,rbeta,0.3,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,1,0,0,0,0
H3N2,1.8,Median,IQR,1.56,1.85,rlnorm,,3.48,Mean,95CI,3.13,3.83,rlnorm,,0.02,Mean,PointEstimate,,,rbeta,0.3,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,1,0,0,0,0
H1N1_09,1.46,Median,IQR,1.3,1.7,rlnorm,,3.08,Mean,95CI,2.84,3.32,rlnorm,,0.0002,Mean,PointEstimate,,,rbeta,0.1,Normal,mean,3,Fixed,,,,,SD,0.9,Fixed,,,,,Lognormal,meanlog,0.342,Fixed,,,,,sdlog,0.272,Fixed,,,,,1,0,0,0,0
H5N1,0.10472,Mean,95CI,0.009,0.315,rgamma,,6.8,Median,95CI,0.3,13.3,rgamma,,0.535,Mean,95CI,0.50228,0.56727,rbeta,,Gamma,shape,2.385,Fixed,,,,,rate,0.303,Fixed,,,,,Weibull,shape,2.337,Fixed,,,,,scale,3.724,Fixed,,,,,1,0,0,1,0
SARS,2.9,Median,95CI,2.2,3.6,rlnorm,,8.32,Median,95CI,1.59,19.2,rgamma,,0.096,Mean,95CI,0.0894,0.1022,rbeta,,Weibull,shape,2.349,Fixed,,,,,scale,9.479,Fixed,,,,,Lognormal,meanlog,1.386,Fixed,,,,,sdlog,0.593,Fixed,,,,,1,0,0,0,0
MERS,0.95,Median,95CI,0.6,1.3,rlnorm,,12.6,Mean,95CI,12.1,13.1,rgamma,,0.391,Mean,Range,0.145,1,rbeta,,Gamma,shape,20.25,Fixed,,,,,scale,0.622,Fixed,,,,,Lognormal,meanlog,1.567,Fixed,,,,,sdlog,0.486,Fixed,,,,,1,0,0,1,0
RVFV,0,Mean,95CI,0,0,rlnorm,,,,,,,,,0.275,Mean,95CI,0.08,0.525,rbeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,